Chromosome	start	stop	geneID	orthoID	StartWithPR
I	356403	357891	NCU07509	Ntsc3911	356303
I	359462	361343	NCU07508	Ntsc3910	359362
I	363634	366043	NCU16311	NA	363534
I	366915	367463	NCU07507	NA	366815
I	367975	369313	NCU07506	NA	367875
I	377665	380825	NCU07505	Ntsc3900	377565
I	381418	384072	NCU07504	Ntsc3899	381318
I	386939	388761	NCU07503	Ntsc3898	386839
I	388864	392501	NCU07502	NA	388764
I	393677	395053	NCU07501	Ntsc1434	393577
I	397225	398634	NCU07500	NA	397125
I	400255	401476	NCU07499	NA	400155
I	402099	406298	NCU07498	Ntsc1433	401999
I	406510	408008	NCU07497	Ntsc3897	406410
I	408524	415263	NCU07496	Ntsc1432	408424
I	417352	419464	NCU07495	Ntsc3896	417252
I	420177	421612	NCU07494	Ntsc1428	420077
I	421557	423435	NCU07493	Ntsc1431	421457
I	423885	427947	NCU07492	Ntsc1430	423785
I	429105	431229	NCU07491	Ntsc1429	429005
I	437279	441935	NCU07489	NA	437179
I	441089	441910	NCU16314	NA	440989
I	448859	451692	NCU07487	Ntsc3895	448759
I	453919	454759	NCU07486	Ntsc1426	453819
I	455182	456143	NCU07485	Ntsc1427	455082
I	456742	461929	NCU07484	NA	456642
I	464411	467155	NCU07483	Ntsc3894	464311
I	467141	469295	NCU07482	Ntsc3893	467041
I	474069	478709	NCU07481	Ntsc3892	473969
I	479576	482143	NCU07480	NA	479476
I	486622	490547	NCU07479	NA	486522
I	491366	493798	NCU07478	Ntsc1425	491266
I	494638	499251	NCU07477	Ntsc3891	494538
I	502478	504670	NCU07476	Ntsc1424	502378
I	507934	509018	NCU07475	Ntsc3890	507834
I	512384	513927	NCU07474	Ntsc3888	512284
I	514506	519273	NCU07473	NA	514406
I	519493	521645	NCU07472	Ntsc3887	519393
I	521932	523738	NCU07471	Ntsc3889	521832
I	530629	533414	NCU07468	Ntsc3877	530529
I	535655	538185	NCU07467	NA	535555
I	537096	538676	NCU07466	Ntsc3874	536996
I	539196	541680	NCU07465	NA	539096
I	541586	543147	NCU07464	NA	541486
I	543682	546443	NCU07463	NA	543582
I	547790	548753	NCU07462	Ntsc3883	547690
I	549633	552479	NCU07461	Ntsc1423	549533
I	552868	555385	NCU07460	Ntsc3881	552768
I	555964	558250	NCU07459	Ntsc3880	555864
I	559256	560671	NCU16316	NA	559156
I	560708	562798	NCU07458	Ntsc3882	560608
I	563726	566109	NCU07457	Ntsc1421	563626
I	565191	567401	NCU07456	Ntsc1422	565091
I	568088	569942	NCU07455	Ntsc3879	567988
I	570732	573135	NCU07454	Ntsc3873	570632
I	574311	576289	NCU07453	Ntsc3876	574211
I	576062	577864	NCU07452	Ntsc1420	575962
I	578783	581444	NCU07451	Ntsc3872	578683
I	582488	583595	NCU07450	Ntsc3875	582388
I	584437	585580	NCU07449	Ntsc3878	584337
I	587090	588592	NCU07448	Ntsc7883	586990
I	593883	596976	NCU07447	Ntsc3862	593783
I	597623	600826	NCU07446	Ntsc3868	597523
I	599620	602122	NCU07445	Ntsc3869	599520
I	608824	615081	NCU07443	NA	608724
I	615714	618210	NCU07442	Ntsc3867	615614
I	620563	621595	NCU07441	Ntsc1419	620463
I	621601	624990	NCU07440	Ntsc3861	621501
I	625039	625986	NCU07439	Ntsc3866	624939
I	626352	629587	NCU07438	Ntsc3865	626252
I	630033	632301	NCU07437	Ntsc3860	629933
I	632558	634077	NCU07436	Ntsc3871	632458
I	634194	636325	NCU07435	Ntsc3864	634094
I	636650	638312	NCU07434	Ntsc3870	636550
I	638340	642524	NCU07433	Ntsc1418	638240
I	644063	646234	NCU07432	Ntsc3859	643963
I	652513	655451	NCU07430	Ntsc3863	652413
I	658020	658981	NCU07429	Ntsc3858	657920
I	661989	663664	NCU07428	Ntsc3852	661889
I	666139	666602	NCU07427	NA	666039
I	698409	700075	NCU10006	Ntsc7881	698309
I	710761	713665	NCU10007	NA	710661
I	716981	719354	NCU10008	Ntsc3851	716881
I	720670	724628	NCU09064	Ntsc3857	720570
I	726288	730970	NCU09065	Ntsc3849	726188
I	739987	740998	NCU09066	NA	739887
I	741884	746951	NCU09068	Ntsc3848	741784
I	747758	750244	NCU09069	NA	747658
I	750264	752527	NCU09070	Ntsc3850	750164
I	753028	756753	NCU09071	Ntsc3847	752928
I	758474	759986	NCU09072	Ntsc3853	758374
I	761516	762264	NCU10839	NA	761416
I	763687	765163	NCU09073	Ntsc1417	763587
I	764870	766051	NCU09074	Ntsc7880	764770
I	766238	767152	NCU09075	Ntsc3856	766138
I	767193	770372	NCU09076	Ntsc3855	767093
I	770678	772001	NCU09077	Ntsc1416	770578
I	771965	773374	NCU09078	Ntsc3854	771865
I	774193	780044	NCU09079	NA	774093
I	791939	792235	NCU09080	NA	791839
I	793682	794386	NCU09081	Ntsc7882	793582
I	798219	798824	NCU09082	NA	798119
I	804397	805159	NCU09084	NA	804297
I	808582	811110	NCU09085	Ntsc3846	808482
I	810666	812203	NCU16318	NA	810566
I	815349	818956	NCU09087	Ntsc1415	815249
I	819221	821372	NCU09088	Ntsc1414	819121
I	821652	823194	NCU09089	NA	821552
I	823210	826355	NCU09090	NA	823110
I	826647	829000	NCU09091	Ntsc3843	826547
I	829269	831784	NCU09092	Ntsc3845	829169
I	831803	834075	NCU09093	Ntsc3842	831703
I	836279	837803	NCU09094	NA	836179
I	837953	839866	NCU09095	Ntsc3844	837853
I	841866	843028	NCU09096	NA	841766
I	843475	847155	NCU09097	Ntsc3823	843375
I	847805	849962	NCU09098	Ntsc3832	847705
I	851718	853021	NCU09099	NA	851618
I	853664	855156	NCU09100	Ntsc3831	853564
I	855455	858451	NCU09101	Ntsc3822	855355
I	858636	860920	NCU09102	Ntsc1401	858536
I	861000	863156	NCU09103	Ntsc3830	860900
I	863464	872329	NCU09104	Ntsc3804	863364
I	926376	927148	NCU16320	NA	926276
I	928570	930752	NCU02187	Ntsc1408	928470
I	937786	943577	NCU02184	NA	937686
I	951198	951623	NCU02183	NA	951098
I	952310	955257	NCU02182	Ntsc1400	952210
I	955540	957970	NCU02181	Ntsc3841	955440
I	965259	968393	NCU02179	NA	965159
I	969499	974473	NCU02178	Ntsc3821	969399
I	974675	976129	NCU16321	Ntsc3803	974575
I	977122	978622	NCU02177	Ntsc1407	977022
I	978695	980576	NCU02176	Ntsc3820	978595
I	980957	982105	NCU16323	NA	980857
I	983862	987884	NCU02175	Ntsc3840	983762
I	988544	989478	NCU16325	NA	988444
I	991777	993756	NCU02174	NA	991677
I	996277	1000626	NCU02173	Ntsc3819	996177
I	1002515	1006983	NCU02172	Ntsc3802	1002415
I	1008855	1010430	NCU02171	NA	1008755
I	1014237	1016969	NCU02170	NA	1014137
I	1016977	1018546	NCU02169	Ntsc1406	1016877
I	1019425	1021505	NCU02168	Ntsc3839	1019325
I	1022195	1024977	NCU02167	Ntsc3801	1022095
I	1031190	1031840	NCU16327	NA	1031090
I	1033949	1037601	NCU02165	Ntsc3838	1033849
I	1038405	1040827	NCU02164	Ntsc3818	1038305
I	1040528	1042071	NCU02163	Ntsc3829	1040428
I	1042247	1045920	NCU02162	Ntsc3817	1042147
I	1043585	1046396	NCU02161	Ntsc1405	1043485
I	1048323	1050458	NCU02160	Ntsc3816	1048223
I	1050815	1052780	NCU02159	Ntsc1404	1050715
I	1053693	1056629	NCU02158	NA	1053593
I	1056828	1058196	NCU02157	Ntsc3815	1056728
I	1058025	1059163	NCU02156	Ntsc3800	1057925
I	1059592	1061748	NCU02155	Ntsc3828	1059492
I	1062038	1063387	NCU16328	Ntsc3837	1061938
I	1063534	1064640	NCU16329	NA	1063434
I	1064556	1067144	NCU02153	Ntsc3799	1064456
I	1067739	1071303	NCU02152	NA	1067639
I	1071693	1074448	NCU02151	Ntsc3798	1071593
I	1074708	1077243	NCU02150	NA	1074608
I	1077394	1078727	NCU02149	Ntsc3797	1077294
I	1078879	1082251	NCU02148	Ntsc7879	1078779
I	1082255	1083421	NCU16330	Ntsc3827	1082155
I	1084078	1086418	NCU02147	Ntsc1398	1083978
I	1087390	1089342	NCU02146	Ntsc7878	1087290
I	1090819	1091136	NCU02145	NA	1090719
I	1094589	1097657	NCU10687	Ntsc1397	1094489
I	1100620	1101246	NCU02144	Ntsc3836	1100520
I	1104931	1105465	NCU02143	NA	1104831
I	1106804	1109214	NCU02142	Ntsc3814	1106704
I	1116622	1119823	NCU02139	Ntsc3796	1116522
I	1120540	1123500	NCU02138	Ntsc3795	1120440
I	1124282	1127129	NCU02137	Ntsc3835	1124182
I	1126296	1129113	NCU02136	Ntsc3794	1126196
I	1130487	1134042	NCU02134	Ntsc3793	1130387
I	1135057	1136630	NCU02133	Ntsc3826	1134957
I	1138024	1138973	NCU02132	NA	1137924
I	1139488	1145597	NCU02131	NA	1139388
I	1146409	1150161	NCU02130	Ntsc7877	1146309
I	1149307	1150509	NCU02129	NA	1149207
I	1153067	1155147	NCU02128	NA	1152967
I	1156535	1158645	NCU02127	Ntsc1402	1156435
I	1159012	1160654	NCU02126	Ntsc1396	1158912
I	1163363	1165206	NCU02125	Ntsc1395	1163263
I	1165504	1167190	NCU02124	NA	1165404
I	1167267	1169263	NCU02123	Ntsc1399	1167167
I	1169721	1172483	NCU02122	Ntsc3813	1169621
I	1172476	1176506	NCU02121	NA	1172376
I	1177734	1181278	NCU10232	Ntsc3812	1177634
I	1187278	1193033	NCU02120	Ntsc3834	1187178
I	1193568	1197315	NCU02119	Ntsc3792	1193468
I	1197635	1199474	NCU02118	Ntsc1394	1197535
I	1199893	1201414	NCU02117	Ntsc3811	1199793
I	1201437	1202856	NCU02116	Ntsc3791	1201337
I	1203257	1207192	NCU02115	Ntsc1393	1203157
I	1232083	1237074	NCU02114	Ntsc3810	1231983
I	1235503	1237073	NCU16332	NA	1235403
I	1238098	1239971	NCU02113	Ntsc3825	1237998
I	1240212	1246262	NCU02112	Ntsc1392	1240112
I	1246770	1251361	NCU02111	Ntsc3824	1246670
I	1253810	1257287	NCU02110	Ntsc3809	1253710
I	1257685	1260160	NCU02109	Ntsc3808	1257585
I	1260007	1261315	NCU02108	Ntsc1410	1259907
I	1261771	1264189	NCU02107	Ntsc3807	1261671
I	1264459	1265632	NCU02106	Ntsc1391	1264359
I	1266588	1267870	NCU02105	NA	1266488
I	1268157	1269998	NCU02104	Ntsc3806	1268057
I	1270901	1277586	NCU02103	NA	1270801
I	1277760	1278636	NCU11212	NA	1277660
I	1280531	1281622	NCU11211	NA	1280431
I	1283563	1284354	NCU16333	NA	1283463
I	1284306	1287607	NCU02101	Ntsc1409	1284206
I	1288054	1290439	NCU02100	Ntsc1413	1287954
I	1290549	1292457	NCU11041	Ntsc3790	1290449
I	1294508	1296535	NCU02099	Ntsc3833	1294408
I	1296574	1298202	NCU02098	NA	1296474
I	1298092	1299820	NCU02097	Ntsc3789	1297992
I	1304586	1306943	NCU02096	Ntsc1412	1304486
I	1308054	1309774	NCU02095	Ntsc1403	1307954
I	1312438	1316433	NCU02094	NA	1312338
I	1331258	1334470	NCU02092	Ntsc3805	1331158
I	1353673	1357751	NCU02091	Ntsc1411	1353573
I	1358332	1361252	NCU02090	Ntsc3788	1358232
I	1362277	1362797	NCU16334	NA	1362177
I	1365670	1368722	NCU02089	Ntsc3776	1365570
I	1369550	1371000	NCU02088	Ntsc3775	1369450
I	1373703	1376146	NCU02087	Ntsc1388	1373603
I	1383040	1386083	NCU02086	Ntsc1390	1382940
I	1388105	1389128	NCU10903	Ntsc3787	1388005
I	1393134	1395776	NCU02085	Ntsc3783	1393034
I	1396137	1397969	NCU02084	Ntsc3786	1396037
I	1398925	1408098	NCU02083	Ntsc3782	1398825
I	1408693	1413986	NCU02082	Ntsc3785	1408593
I	1427429	1427674	NCU02081	Ntsc7876	1427329
I	1429651	1430693	NCU11210	NA	1429551
I	1431811	1432828	NCU02080	Ntsc1387	1431711
I	1437773	1439501	NCU02079	Ntsc3781	1437673
I	1439827	1443859	NCU02078	Ntsc3784	1439727
I	1444409	1447511	NCU02077	NA	1444309
I	1447740	1450101	NCU02076	Ntsc3774	1447640
I	1450891	1453703	NCU02075	NA	1450791
I	1454681	1457939	NCU02074	Ntsc3778	1454581
I	1458939	1460486	NCU02073	Ntsc3780	1458839
I	1462796	1463885	NCU02071	Ntsc3777	1462696
I	1464483	1467285	NCU02070	Ntsc1389	1464383
I	1467490	1470001	NCU16336	NA	1467390
I	1470137	1474086	NCU16337	NA	1470037
I	1474024	1480845	NCU02068	NA	1473924
I	1481604	1483771	NCU02067	Ntsc1386	1481504
I	1482503	1484761	NCU11209	Ntsc3773	1482403
I	1485051	1487679	NCU02066	Ntsc1385	1484951
I	1488131	1491767	NCU02065	Ntsc1384	1488031
I	1491850	1493467	NCU02064	Ntsc3779	1491750
I	1493863	1497088	NCU02063	Ntsc1381	1493763
I	1498418	1499287	NCU02062	Ntsc7872	1498318
I	1500611	1502061	NCU02061	Ntsc3772	1500511
I	1502329	1504735	NCU02060	Ntsc1375	1502229
I	1505686	1508350	NCU02059	Ntsc3766	1505586
I	1509113	1511198	NCU02058	Ntsc1380	1509013
I	1511066	1516877	NCU02057	NA	1510966
I	1519311	1521830	NCU02056	Ntsc3765	1519211
I	1522371	1524619	NCU02055	Ntsc3771	1522271
I	1524545	1526538	NCU02054	Ntsc1383	1524445
I	1526760	1531289	NCU02053	Ntsc1379	1526660
I	1531969	1539067	NCU02052	NA	1531869
I	1539599	1542181	NCU10806	Ntsc1382	1539499
I	1543429	1548853	NCU02051	Ntsc3770	1543329
I	1551034	1556590	NCU02049	Ntsc3760	1550934
I	1559715	1564953	NCU02048	Ntsc3769	1559615
I	1570281	1573326	NCU02046	Ntsc3768	1570181
I	1574297	1576855	NCU02044	Ntsc3759	1574197
I	1577097	1579064	NCU02043	Ntsc3764	1576997
I	1580447	1582733	NCU02042	Ntsc3758	1580347
I	1585578	1587620	NCU02041	Ntsc3763	1585478
I	1587862	1589691	NCU02040	Ntsc1378	1587762
I	1591138	1593827	NCU02039	Ntsc3762	1591038
I	1594029	1595080	NCU02038	Ntsc1377	1593929
I	1597095	1598324	NCU02037	Ntsc7875	1596995
I	1600191	1607696	NCU02036	Ntsc3767	1600091
I	1608043	1609879	NCU02035	Ntsc7874	1607943
I	1611869	1615028	NCU02034	Ntsc1376	1611769
I	1615158	1618412	NCU02033	Ntsc7873	1615058
I	1619717	1622826	NCU02032	Ntsc3761	1619617
I	1623363	1626629	NCU02031	Ntsc3747	1623263
I	1627025	1628920	NCU02030	Ntsc1372	1626925
I	1629032	1630347	NCU02029	Ntsc3746	1628932
I	1630458	1632188	NCU02028	Ntsc3738	1630358
I	1632189	1633702	NCU02027	Ntsc3757	1632089
I	1634631	1637672	NCU02026	Ntsc3756	1634531
I	1637659	1639748	NCU02025	Ntsc3737	1637559
I	1640002	1642222	NCU02024	Ntsc3755	1639902
I	1642517	1645081	NCU02023	Ntsc3750	1642417
I	1647684	1650672	NCU02022	NA	1647584
I	1650820	1651386	NCU02021	Ntsc1371	1650720
I	1651491	1655292	NCU02020	Ntsc1367	1651391
I	1657834	1659835	NCU02019	Ntsc1366	1657734
I	1660522	1661793	NCU02018	Ntsc3754	1660422
I	1663002	1665672	NCU02017	Ntsc3745	1662902
I	1665463	1666966	NCU02016	Ntsc3749	1665363
I	1667609	1671392	NCU02015	Ntsc3753	1667509
I	1671707	1673426	NCU02014	Ntsc1370	1671607
I	1673395	1675076	NCU02013	Ntsc3736	1673295
I	1675354	1679439	NCU02012	Ntsc1365	1675254
I	1679855	1684385	NCU02011	Ntsc3735	1679755
I	1685685	1689164	NCU02010	Ntsc3734	1685585
I	1690523	1694696	NCU02009	Ntsc7871	1690423
I	1696442	1697182	NCU02008	NA	1696342
I	1697784	1698862	NCU02007	Ntsc3744	1697684
I	1699141	1703074	NCU02006	Ntsc3752	1699041
I	1702853	1704727	NCU02005	Ntsc1374	1702753
I	1706234	1708298	NCU02004	Ntsc1369	1706134
I	1711539	1714654	NCU02003	Ntsc3743	1711439
I	1715205	1718857	NCU02002	NA	1715105
I	1719008	1720680	NCU02001	Ntsc3742	1718908
I	1720671	1721335	NCU02000	Ntsc1373	1720571
I	1721690	1724492	NCU01999	Ntsc3741	1721590
I	1724390	1728311	NCU01998	Ntsc3733	1724290
I	1730345	1733261	NCU01997	Ntsc1368	1730245
I	1736763	1740530	NCU01996	Ntsc3740	1736663
I	1741307	1743453	NCU01995	Ntsc3748	1741207
I	1746594	1748936	NCU01994	NA	1746494
I	1748851	1751419	NCU01993	Ntsc3732	1748751
I	1751806	1755449	NCU01992	Ntsc3731	1751706
I	1755857	1759115	NCU01991	Ntsc3730	1755757
I	1760353	1762956	NCU01990	Ntsc3739	1760253
I	1763459	1765542	NCU01989	Ntsc3751	1763359
I	1768126	1768719	NCU01988	Ntsc7870	1768026
I	1769212	1770942	NCU01987	NA	1769112
I	1771034	1773687	NCU16341	NA	1770934
I	1774672	1778095	NCU01985	Ntsc3729	1774572
I	1779123	1783222	NCU01984	NA	1779023
I	1783194	1785061	NCU01983	NA	1783094
I	1785291	1787380	NCU01982	Ntsc3720	1785191
I	1787273	1788723	NCU01981	Ntsc3711	1787173
I	1789559	1792380	NCU01980	Ntsc1361	1789459
I	1791268	1792492	NCU01979	Ntsc3710	1791168
I	1793789	1796991	NCU01978	Ntsc3719	1793689
I	1799279	1802672	NCU01977	NA	1799179
I	1803333	1807834	NCU01976	NA	1803233
I	1809322	1811029	NCU01975	Ntsc3715	1809222
I	1811262	1813057	NCU01974	Ntsc3709	1811162
I	1813940	1818960	NCU01973	Ntsc1360	1813840
I	1818997	1821069	NCU01972	Ntsc1362	1818897
I	1823637	1825949	NCU01971	Ntsc1359	1823537
I	1827414	1828871	NCU01970	NA	1827314
I	1827922	1830214	NCU01969	Ntsc3718	1827822
I	1832020	1835161	NCU01968	Ntsc3714	1831920
I	1835440	1837102	NCU01967	Ntsc3713	1835340
I	1836873	1838488	NCU01966	NA	1836773
I	1838848	1842740	NCU01965	Ntsc3717	1838748
I	1843662	1847697	NCU01964	Ntsc3712	1843562
I	1848061	1851346	NCU01963	Ntsc7869	1847961
I	1851072	1852772	NCU01962	Ntsc3716	1850972
I	1853043	1855879	NCU01961	NA	1852943
I	1857194	1858469	NCU01960	NA	1857094
I	1859093	1860424	NCU01959	NA	1858993
I	1860692	1862194	NCU01958	NA	1860592
I	1865597	1867210	NCU01957	NA	1865497
I	1868552	1872864	NCU01956	Ntsc3704	1868452
I	1873289	1875362	NCU01955	Ntsc3707	1873189
I	1875572	1877343	NCU01954	Ntsc3703	1875472
I	1877824	1886059	NCU01953	NA	1877724
I	1889062	1895162	NCU01951	Ntsc7868	1888962
I	1895466	1896948	NCU01950	Ntsc1358	1895366
I	1896783	1898329	NCU01949	Ntsc3702	1896683
I	1898407	1900281	NCU01948	Ntsc3706	1898307
I	1900601	1905242	NCU01947	Ntsc3705	1900501
I	1905366	1905756	NCU01946	NA	1905266
I	1906390	1908815	NCU01945	Ntsc3708	1906290
I	1909873	1912967	NCU01944	Ntsc1357	1909773
I	1917242	1918164	NCU01943	NA	1917142
I	1922648	1924414	NCU01942	NA	1922548
I	1931911	1936267	NCU01940	Ntsc3701	1931811
I	1939316	1944145	NCU01939	Ntsc3700	1939216
I	1948134	1952272	NCU01938	NA	1948034
I	1954685	1958363	NCU01936	Ntsc3694	1954585
I	1958579	1959782	NCU16343	NA	1958479
I	1959628	1961938	NCU01935	Ntsc3699	1959528
I	1970618	1976166	NCU01932	Ntsc3693	1970518
I	1978041	1978736	NCU16344	NA	1977941
I	1979490	1981823	NCU01931	Ntsc3698	1979390
I	1982935	1984521	NCU01930	Ntsc3696	1982835
I	1984207	1987890	NCU01929	Ntsc3697	1984107
I	1988209	1990563	NCU01928	Ntsc3695	1988109
I	1991094	1994771	NCU01927	NA	1990994
I	1996875	1999171	NCU01926	NA	1996775
I	2003874	2006615	NCU01924	NA	2003774
I	2010797	2011866	NCU01923	NA	2010697
I	2022855	2024545	NCU01922	Ntsc1355	2022755
I	2024678	2026493	NCU11201	Ntsc3692	2024578
I	2027524	2029510	NCU16346	Ntsc7867	2027424
I	2029768	2031216	NCU11200	Ntsc3687	2029668
I	2032053	2033664	NCU01920	Ntsc1354	2031953
I	2033374	2035692	NCU01919	Ntsc1356	2033274
I	2035932	2038074	NCU01918	Ntsc3690	2035832
I	2038909	2042164	NCU01917	Ntsc1353	2038809
I	2042662	2045057	NCU01916	Ntsc3689	2042562
I	2044910	2047027	NCU01914	NA	2044810
I	2047075	2049390	NCU01913	Ntsc1352	2046975
I	2050359	2055370	NCU01912	NA	2050259
I	2057037	2061339	NCU01911	Ntsc1351	2056937
I	2061552	2068715	NCU01910	NA	2061452
I	2069608	2073958	NCU01908	Ntsc3691	2069508
I	2075119	2077835	NCU01907	Ntsc3688	2075019
I	2077848	2079777	NCU01906	Ntsc3673	2077748
I	2079813	2081745	NCU01905	Ntsc1342	2079713
I	2082506	2083718	NCU01904	Ntsc1349	2082406
I	2083623	2086090	NCU01903	Ntsc3680	2083523
I	2085202	2086399	NCU16347	Ntsc3664	2085102
I	2087888	2089001	NCU01902	Ntsc3663	2087788
I	2089726	2094506	NCU01901	Ntsc1348	2089626
I	2095226	2096471	NCU01900	Ntsc1347	2095126
I	2096686	2100083	NCU01899	Ntsc3686	2096586
I	2100119	2100880	NCU16348	NA	2100019
I	2102000	2104394	NCU01898	NA	2101900
I	2105454	2107502	NCU01897	Ntsc3679	2105354
I	2108944	2112661	NCU01896	NA	2108844
I	2113962	2118659	NCU01895	NA	2113862
I	2119037	2120964	NCU01894	Ntsc3685	2118937
I	2121862	2125669	NCU01893	Ntsc3678	2121762
I	2128881	2130178	NCU01891	Ntsc3662	2128781
I	2135574	2138080	NCU01889	NA	2135474
I	2138159	2142235	NCU01888	NA	2138059
I	2142230	2146277	NCU01886	Ntsc1340	2142130
I	2148869	2150578	NCU10570	Ntsc3677	2148769
I	2152174	2155921	NCU01884	Ntsc1339	2152074
I	2156300	2159194	NCU01883	Ntsc3671	2156200
I	2159810	2162905	NCU01882	NA	2159710
I	2166496	2167240	NCU16349	NA	2166396
I	2167484	2171553	NCU01881	NA	2167384
I	2172002	2173444	NCU01880	NA	2171902
I	2173855	2176291	NCU01879	Ntsc3661	2173755
I	2176912	2181105	NCU01878	Ntsc3684	2176812
I	2181255	2182178	NCU01877	Ntsc7866	2181155
I	2182903	2183504	NCU01876	Ntsc3670	2182803
I	2185114	2185510	NCU01875	NA	2185014
I	2186207	2187375	NCU01874	Ntsc3676	2186107
I	2189357	2190409	NCU16350	NA	2189257
I	2190761	2194310	NCU01873	Ntsc3682	2190661
I	2194873	2195818	NCU01872	Ntsc3683	2194773
I	2195247	2199383	NCU01871	NA	2195147
I	2199566	2201526	NCU01870	Ntsc3659	2199466
I	2202126	2203398	NCU01869	Ntsc3660	2202026
I	2203777	2206081	NCU01868	Ntsc3669	2203677
I	2206690	2207912	NCU01867	NA	2206590
I	2209870	2211984	NCU01866	Ntsc3668	2209770
I	2212166	2214400	NCU01865	Ntsc1345	2212066
I	2219336	2220495	NCU16352	NA	2219236
I	2222205	2223003	NCU01863	Ntsc3681	2222105
I	2223366	2226430	NCU01862	Ntsc1344	2223266
I	2226728	2228146	NCU01861	Ntsc1350	2226628
I	2230997	2232628	NCU01860	Ntsc1346	2230897
I	2233083	2235079	NCU01859	Ntsc3658	2232983
I	2235195	2236878	NCU01858	Ntsc3667	2235095
I	2236949	2241214	NCU01857	Ntsc1343	2236849
I	2241564	2244540	NCU01856	Ntsc3675	2241464
